"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","Should NOT update product: Manufacturer is not from the suggested list","sales-portal-api","Fri Apr 24 17:31:25 UTC 2026","passed","Fri Apr 24 17:31:25 UTC 2026","[API] [Products] Update product by ID > Negative","src/api/tests/products/updateProduct.spec.ts","",""
"","33","Should NOT update customer: House exceeds upper limit","sales-portal-api","Fri Apr 24 17:31:07 UTC 2026","passed","Fri Apr 24 17:31:07 UTC 2026","[API] [Customers] Update the customer by ID > Negative","src/api/tests/customers/updateCustomer.spec.ts","",""
"","1702","Should navigate to order details page after clicking details button","sales-portal-ui","Fri Apr 24 17:30:24 UTC 2026","passed","Fri Apr 24 17:30:26 UTC 2026","[UI] [Sales Portal] > Orders list","src/ui/tests/health-check.spec.ts","",""
"","2818","Should not open edit customer modal for Partially Received order","sales-portal-ui","Fri Apr 24 17:30:21 UTC 2026","passed","Fri Apr 24 17:30:24 UTC 2026","[UI] [Orders] [Customer] > [Positive] > [Negative] Orders were created without service","src/ui/tests/orders/criticalPath/editCustomer.spec.ts","",""
"","90","401 Unauthorized - Create order without token","sales-portal-api","Fri Apr 24 17:31:11 UTC 2026","passed","Fri Apr 24 17:31:11 UTC 2026","[API] [Orders] Create a new order > Negative","src/api/tests/orders/createOrder.spec.ts","",""
"","43","Should NOT create product: Duplicate name","sales-portal-api","Fri Apr 24 17:31:22 UTC 2026","passed","Fri Apr 24 17:31:23 UTC 2026","[API] [Products] Create a new product > Negative","src/api/tests/products/createProduct.spec.ts","",""
"","123","Update order status to ""Received"" from ""In Process""","sales-portal-api","Fri Apr 24 17:31:21 UTC 2026","passed","Fri Apr 24 17:31:21 UTC 2026","[API][Orders] In Process - Draft/Canceled/In Process/Partially Received/Received > Negative cases","src/api/tests/orders/updateStatusOfOrder.spec.ts","",""
"","244","Should successfully mark one product as received - Partial Receipt","sales-portal-api","Fri Apr 24 17:31:13 UTC 2026","passed","Fri Apr 24 17:31:13 UTC 2026","[API] [Orders] Products Receipt - In Process Orders > Positive cases","src/api/tests/orders/markProductAsReceived.spec.ts","",""
"","55","Should NOT update product: Duplicate name","sales-portal-api","Fri Apr 24 17:31:26 UTC 2026","passed","Fri Apr 24 17:31:26 UTC 2026","[API] [Products] Update product by ID > Negative","src/api/tests/products/updateProduct.spec.ts","",""
"","193","401 Unauthorized - Delete order with invalid token","sales-portal-api","Fri Apr 24 17:31:24 UTC 2026","passed","Fri Apr 24 17:31:24 UTC 2026","[API] [Orders] Delete order by id > Negative","src/api/tests/orders/deleteOrderById.spec.ts","",""
"","19","Should NOT create customer: Phone without plus sign","sales-portal-api","Fri Apr 24 17:31:01 UTC 2026","passed","Fri Apr 24 17:31:01 UTC 2026","[API] [Customers] Create A New Customer > Negative","src/api/tests/customers/createCustomer.spec.ts","",""
"","84","Should update delivery: 1-char city","sales-portal-api","Fri Apr 24 17:31:15 UTC 2026","passed","Fri Apr 24 17:31:15 UTC 2026","[API] [Orders] Update delivery > Positive","src/api/tests/orders/updateDelivery.spec.ts","",""
"","117","Should return 404 when invalid Manager id","sales-portal-api","Fri Apr 24 17:31:09 UTC 2026","passed","Fri Apr 24 17:31:09 UTC 2026","[API] [Orders] Assign manager > Negative","src/api/tests/orders/assignAndUnassignManager.spec.ts","",""
"","41","Should NOT update product: Invalid auth token","sales-portal-api","Fri Apr 24 17:31:25 UTC 2026","passed","Fri Apr 24 17:31:25 UTC 2026","[API] [Products] Update product by ID > Negative","src/api/tests/products/updateProduct.spec.ts","",""
"","41","Should NOT update customer: City contains numbers","sales-portal-api","Fri Apr 24 17:31:07 UTC 2026","passed","Fri Apr 24 17:31:07 UTC 2026","[API] [Customers] Update the customer by ID > Negative","src/api/tests/customers/updateCustomer.spec.ts","",""
"","57","404 Not Found - Create order without customer","sales-portal-api","Fri Apr 24 17:31:11 UTC 2026","passed","Fri Apr 24 17:31:11 UTC 2026","[API] [Orders] Create a new order > Negative","src/api/tests/orders/createOrder.spec.ts","",""
"","16","Should NOT create customer: Empty street","sales-portal-api","Fri Apr 24 17:31:01 UTC 2026","passed","Fri Apr 24 17:31:01 UTC 2026","[API] [Customers] Create A New Customer > Negative","src/api/tests/customers/createCustomer.spec.ts","",""
"","14","Should NOT create customer: House is zero","sales-portal-api","Fri Apr 24 17:31:01 UTC 2026","passed","Fri Apr 24 17:31:01 UTC 2026","[API] [Customers] Create A New Customer > Negative","src/api/tests/customers/createCustomer.spec.ts","",""
"","46","Empty country filter - 200 OK","sales-portal-api","Fri Apr 24 17:31:05 UTC 2026","passed","Fri Apr 24 17:31:05 UTC 2026","[API] [Customers] GET customers - filters and sorting - 200 OK > Negative","src/api/tests/customers/getCustomersFiltersAndSorting.spec.ts","",""
"","201","Should successfully mark all products as received - 200 OK","sales-portal-api","Fri Apr 24 17:31:13 UTC 2026","passed","Fri Apr 24 17:31:13 UTC 2026","[API] [Orders] Products Receipt - In Process Orders > Positive cases","src/api/tests/orders/markProductAsReceived.spec.ts","",""
"","1949","Verify ""Select All"" checkbox","sales-portal-ui","Fri Apr 24 17:30:11 UTC 2026","passed","Fri Apr 24 17:30:13 UTC 2026","[UI] [Sales Portal] > Orders Details - Received Products section - Orders in Progress","src/ui/tests/health-check.spec.ts","",""
"","136","Should return 401 when using invalid token","sales-portal-api","Fri Apr 24 17:31:10 UTC 2026","passed","Fri Apr 24 17:31:10 UTC 2026","[API] [Orders] Unassign manager > Negative","src/api/tests/orders/assignAndUnassignManager.spec.ts","",""
"","9","Should NOT create product: Manufacturer is not from the suggested list","sales-portal-api","Fri Apr 24 17:31:22 UTC 2026","passed","Fri Apr 24 17:31:22 UTC 2026","[API] [Products] Create a new product > Negative","src/api/tests/products/createProduct.spec.ts","",""
"","38","Should update customer: 40-char street including one space","sales-portal-api","Fri Apr 24 17:31:06 UTC 2026","passed","Fri Apr 24 17:31:06 UTC 2026","[API] [Customers] Update the customer by ID > Positive","src/api/tests/customers/updateCustomer.spec.ts","",""
"","122","Should NOT update delivery: house = 1000","sales-portal-api","Fri Apr 24 17:31:16 UTC 2026","passed","Fri Apr 24 17:31:16 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","168","Should unassign manager","sales-portal-api","Fri Apr 24 17:31:09 UTC 2026","passed","Fri Apr 24 17:31:10 UTC 2026","[API] [Orders] Unassign manager > Positive","src/api/tests/orders/assignAndUnassignManager.spec.ts","",""
