"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Should return list of customers after searching by name without spaces","sales-portal-api","Fri Apr 24 19:03:17 UTC 2026","passed","Fri Apr 24 19:03:17 UTC 2026","[API] [Customers] GET customers - filters and sorting - 200 OK > Positive","src/api/tests/customers/getCustomersFiltersAndSorting.spec.ts","",""
"","126","Should return 404 when invalid Manager id","sales-portal-api","Fri Apr 24 19:03:21 UTC 2026","passed","Fri Apr 24 19:03:21 UTC 2026","[API] [Orders] Assign manager > Negative","src/api/tests/orders/assignAndUnassignManager.spec.ts","",""
"","11","Should NOT create customer: Name too long (41 chars)","sales-portal-api","Fri Apr 24 19:03:14 UTC 2026","passed","Fri Apr 24 19:03:14 UTC 2026","[API] [Customers] Create A New Customer > Negative","src/api/tests/customers/createCustomer.spec.ts","",""
"","9","Should not create customer Missing auth token - 401","sales-portal-api","Fri Apr 24 19:03:14 UTC 2026","passed","Fri Apr 24 19:03:14 UTC 2026","[API] [Customers] Create A New Customer > Negative","src/api/tests/customers/createCustomer.spec.ts","",""
"","31","Should return list of customers after searching by country name","sales-portal-api","Fri Apr 24 19:03:17 UTC 2026","passed","Fri Apr 24 19:03:17 UTC 2026","[API] [Customers] GET customers - filters and sorting - 200 OK > Positive","src/api/tests/customers/getCustomersFiltersAndSorting.spec.ts","",""
"","33","Should update customer: House = 999","sales-portal-api","Fri Apr 24 19:03:18 UTC 2026","passed","Fri Apr 24 19:03:18 UTC 2026","[API] [Customers] Update the customer by ID > Positive","src/api/tests/customers/updateCustomer.spec.ts","",""
"","100","Should NOT delete comment with invalid token - 401 UNAUTHORIZED","sales-portal-api","Fri Apr 24 19:03:23 UTC 2026","passed","Fri Apr 24 19:03:23 UTC 2026","[API] [Orders] Delete order comment > Negative cases","src/api/tests/orders/deleteComment.spec.ts","",""
"","201","400 Bad Request - Update order which status is Received","sales-portal-api","Fri Apr 24 19:03:32 UTC 2026","passed","Fri Apr 24 19:03:32 UTC 2026","[API] [Orders] Update order by ID > Negative","src/api/tests/orders/updateOrder.spec.ts","",""
"","32","Should return list of customers after sorting by email ascending - 200 OK","sales-portal-api","Fri Apr 24 19:03:17 UTC 2026","passed","Fri Apr 24 19:03:17 UTC 2026","[API] [Customers] GET customers - filters and sorting - 200 OK > Positive","src/api/tests/customers/getCustomersFiltersAndSorting.spec.ts","",""
"","32","Should NOT update customer: City contains numbers","sales-portal-api","Fri Apr 24 19:03:19 UTC 2026","passed","Fri Apr 24 19:03:19 UTC 2026","[API] [Customers] Update the customer by ID > Negative","src/api/tests/customers/updateCustomer.spec.ts","",""
"","1147","Verify clickEditProductsPencilButton","sales-portal-ui","Fri Apr 24 19:02:24 UTC 2026","passed","Fri Apr 24 19:02:25 UTC 2026","[UI] [Sales Portal] > Orders Details - Received Products section - Orders in Draft","src/ui/tests/health-check.spec.ts","",""
"","11","Should create product: Amount = 0","sales-portal-api","Fri Apr 24 19:03:34 UTC 2026","passed","Fri Apr 24 19:03:34 UTC 2026","[API] [Products] Create a new product > Positive","src/api/tests/products/createProduct.spec.ts","",""
"","69","401 Unauthorized - Get order by id without token","sales-portal-api","Fri Apr 24 19:03:23 UTC 2026","passed","Fri Apr 24 19:03:23 UTC 2026","[API] [Orders] Get order by id > Negative","src/api/tests/orders/getOrderById.spec.ts","",""
"","9","Invalid auth token - 401 Unauthorized","sales-portal-api","Fri Apr 24 19:03:18 UTC 2026","passed","Fri Apr 24 19:03:18 UTC 2026","[API] [Customers] GET customers - filters and sorting - 200 OK > Negative","src/api/tests/customers/getCustomersFiltersAndSorting.spec.ts","",""
"","29","Should NOT update customer: Flat is zero","sales-portal-api","Fri Apr 24 19:03:19 UTC 2026","passed","Fri Apr 24 19:03:19 UTC 2026","[API] [Customers] Update the customer by ID > Negative","src/api/tests/customers/updateCustomer.spec.ts","",""
"","181","Should return empty array for customer without orders - 200 OK","sales-portal-api","Fri Apr 24 19:03:15 UTC 2026","passed","Fri Apr 24 19:03:16 UTC 2026","[API] [Customers] Get Customer Orders by ID > Positive","src/api/tests/customers/getCustomerOrders.spec.ts","",""
"","163","Should NOT return orders when using empty token - 401 Not authorized","sales-portal-api","Fri Apr 24 19:03:16 UTC 2026","passed","Fri Apr 24 19:03:16 UTC 2026","[API] [Customers] Get Customer Orders by ID > Negative","src/api/tests/customers/getCustomerOrders.spec.ts","",""
