"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1759","Canceled draft order","sales-portal-ui","Wed Apr 22 22:39:01 UTC 2026","passed","Wed Apr 22 22:39:03 UTC 2026","[UI] [Orders] Cancel Order > Order type: Canceled draft order","src/ui/tests/orders/smoke/cancelReopenOrder.spec.ts","",""
"","16","Should NOT create product: Name too short (1 char)","sales-portal-api","Wed Apr 22 22:39:28 UTC 2026","passed","Wed Apr 22 22:39:28 UTC 2026","[API] [Products] Create a new product > Negative","src/api/tests/products/createProduct.spec.ts","",""
"","192","Should return 401 when using empty token","sales-portal-api","Wed Apr 22 22:39:24 UTC 2026","passed","Wed Apr 22 22:39:24 UTC 2026","[API] [Orders] Products Receipt - In Process Orders > Positive cases","src/api/tests/orders/markProductAsReceived.spec.ts","",""
"","1736","Should allow receiving all products for a In Process order","sales-portal-ui","Wed Apr 22 22:38:57 UTC 2026","passed","Wed Apr 22 22:38:58 UTC 2026","[UI] [Orders] [Orders Details] [Received Products Section] Order without Received Products","src/ui/tests/orders/smoke/allReceivedProducts.spec.ts","",""
"","96","404 Not Found - Create order with not exist product","sales-portal-api","Wed Apr 22 22:39:22 UTC 2026","passed","Wed Apr 22 22:39:22 UTC 2026","[API] [Orders] Create a new order > Negative","src/api/tests/orders/createOrder.spec.ts","",""
"","67","Should NOT update customer: Flat is zero","sales-portal-api","Wed Apr 22 22:39:20 UTC 2026","passed","Wed Apr 22 22:39:20 UTC 2026","[API] [Customers] Update the customer by ID > Negative","src/api/tests/customers/updateCustomer.spec.ts","",""
"","16","Should NOT create customer: Notes exceed max length (251 chars)","sales-portal-api","Wed Apr 22 22:39:15 UTC 2026","passed","Wed Apr 22 22:39:15 UTC 2026","[API] [Customers] Create A New Customer > Negative","src/api/tests/customers/createCustomer.spec.ts","",""
"","63","Should update customer: 1-char name","sales-portal-api","Wed Apr 22 22:39:18 UTC 2026","passed","Wed Apr 22 22:39:18 UTC 2026","[API] [Customers] Update the customer by ID > Positive","src/api/tests/customers/updateCustomer.spec.ts","",""
"","123","Should NOT update delivery: house = 0","sales-portal-api","Wed Apr 22 22:39:26 UTC 2026","passed","Wed Apr 22 22:39:26 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","2070","Should navigate to next page","sales-portal-ui","Wed Apr 22 22:39:07 UTC 2026","passed","Wed Apr 22 22:39:09 UTC 2026","[UI] [Sales Portal] > Orders list","src/ui/tests/health-check.spec.ts","",""
"","106","Should NOT return customers with invalid token - 401 Unauthorized","sales-portal-api","Wed Apr 22 22:39:16 UTC 2026","passed","Wed Apr 22 22:39:16 UTC 2026","[API] [Customers] Get All Customers > Negative","src/api/tests/customers/getAllCustomers.spec.ts","",""
"","14","Should NOT create customer: Street too long (41 chars)","sales-portal-api","Wed Apr 22 22:39:15 UTC 2026","passed","Wed Apr 22 22:39:15 UTC 2026","[API] [Customers] Create A New Customer > Negative","src/api/tests/customers/createCustomer.spec.ts","",""
"","64","Should NOT get customer by ID with empty token - 401 Not authorized","sales-portal-api","Wed Apr 22 22:39:16 UTC 2026","passed","Wed Apr 22 22:39:16 UTC 2026","[API] [Customers] Get Customer By ID > Negative","src/api/tests/customers/getCustomerById.spec.ts","",""
"","74","Should update product: 3-char name","sales-portal-api","Wed Apr 22 22:39:30 UTC 2026","passed","Wed Apr 22 22:39:30 UTC 2026","[API] [Products] Update product by ID > Positive","src/api/tests/products/updateProduct.spec.ts","",""
"","259","Should NOT return orders when using invalid token - 401 Not authorized","sales-portal-api","Wed Apr 22 22:39:17 UTC 2026","passed","Wed Apr 22 22:39:17 UTC 2026","[API] [Customers] Get Customer Orders by ID > Negative","src/api/tests/customers/getCustomerOrders.spec.ts","",""
"","3592","Should change items per page to 25","sales-portal-ui","Wed Apr 22 22:39:03 UTC 2026","passed","Wed Apr 22 22:39:07 UTC 2026","[UI] [Sales Portal] > Orders list","src/ui/tests/health-check.spec.ts","",""
"","13","Should NOT create customer: Email without @","sales-portal-api","Wed Apr 22 22:39:15 UTC 2026","passed","Wed Apr 22 22:39:15 UTC 2026","[API] [Customers] Create A New Customer > Negative","src/api/tests/customers/createCustomer.spec.ts","",""
"","62","Should NOT update customer: Empty street","sales-portal-api","Wed Apr 22 22:39:20 UTC 2026","passed","Wed Apr 22 22:39:20 UTC 2026","[API] [Customers] Update the customer by ID > Negative","src/api/tests/customers/updateCustomer.spec.ts","",""
"","122","Should return error when trying to receive products for Draft order - 400 Bad Request","sales-portal-api","Wed Apr 22 22:39:25 UTC 2026","passed","Wed Apr 22 22:39:25 UTC 2026","[API] [Orders] Products Receipt - Draft Orders","src/api/tests/orders/markProductAsReceived.spec.ts","",""
"","59","Should NOT update customer: Notes exceed max length (251 chars)","sales-portal-api","Wed Apr 22 22:39:21 UTC 2026","passed","Wed Apr 22 22:39:21 UTC 2026","[API] [Customers] Update the customer by ID > Negative","src/api/tests/customers/updateCustomer.spec.ts","",""
"","68","Should NOT update customer: City contains numbers","sales-portal-api","Wed Apr 22 22:39:20 UTC 2026","passed","Wed Apr 22 22:39:20 UTC 2026","[API] [Customers] Update the customer by ID > Negative","src/api/tests/customers/updateCustomer.spec.ts","",""
"","2388","Should open ""Create New Order"" modal and display its basic UI","sales-portal-ui","Wed Apr 22 22:38:18 UTC 2026","passed","Wed Apr 22 22:38:20 UTC 2026","[UI] [Orders] [Modals] [Create Order Modal]","src/ui/tests/orders/checkUI/orderModals.spec.ts","",""
"","66","Should NOT update customer: Flat is a string","sales-portal-api","Wed Apr 22 22:39:21 UTC 2026","passed","Wed Apr 22 22:39:21 UTC 2026","[API] [Customers] Update the customer by ID > Negative","src/api/tests/customers/updateCustomer.spec.ts","",""
"","47","Should NOT update product: Price contains a non-integer number (price = 5.6)","sales-portal-api","Wed Apr 22 22:39:31 UTC 2026","passed","Wed Apr 22 22:39:31 UTC 2026","[API] [Products] Update product by ID > Negative","src/api/tests/products/updateProduct.spec.ts","",""
"","68","Should update product: Amount = 0","sales-portal-api","Wed Apr 22 22:39:30 UTC 2026","passed","Wed Apr 22 22:39:30 UTC 2026","[API] [Products] Update product by ID > Positive","src/api/tests/products/updateProduct.spec.ts","",""
"","1986","Should not open edit customer modal for Received order","sales-portal-ui","Wed Apr 22 22:38:44 UTC 2026","passed","Wed Apr 22 22:38:46 UTC 2026","[UI] [Orders] [Customer] > [Positive] > [Negative] Orders were created dynamically by service","src/ui/tests/orders/criticalPath/editCustomer.spec.ts","",""
"","2096","Should not open edit customer modal for Partially Received order","sales-portal-ui","Wed Apr 22 22:38:38 UTC 2026","passed","Wed Apr 22 22:38:40 UTC 2026","[UI] [Orders] [Customer] > [Positive] > [Negative] Orders were created without service","src/ui/tests/orders/criticalPath/editCustomer.spec.ts","",""
