"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Should update product: 3-char name","sales-portal-api","Thu Apr 23 00:27:17 UTC 2026","passed","Thu Apr 23 00:27:17 UTC 2026","[API] [Products] Update product by ID > Positive","src/api/tests/products/updateProduct.spec.ts","",""
"","1416","Canceled draft order","sales-portal-ui","Thu Apr 23 00:26:47 UTC 2026","passed","Thu Apr 23 00:26:48 UTC 2026","[UI] [Orders] Cancel Order > Order type: Canceled draft order","src/ui/tests/orders/smoke/cancelReopenOrder.spec.ts","",""
"","47","Should NOT update customer: Email without @","sales-portal-api","Thu Apr 23 00:27:02 UTC 2026","passed","Thu Apr 23 00:27:03 UTC 2026","[API] [Customers] Update the customer by ID > Negative","src/api/tests/customers/updateCustomer.spec.ts","",""
"","114","Should return 401 when using invalid token","sales-portal-api","Thu Apr 23 00:27:04 UTC 2026","passed","Thu Apr 23 00:27:05 UTC 2026","[API] [Orders] Assign manager > Negative","src/api/tests/orders/assignAndUnassignManager.spec.ts","",""
"","1433","Should reopen order after clicking reopen button","sales-portal-ui","Thu Apr 23 00:26:24 UTC 2026","passed","Thu Apr 23 00:26:25 UTC 2026","[UI] [Sales Portal] > Orders list","src/ui/tests/health-check.spec.ts","",""
"","15","401 Unauthorized - Delete order with empty token","sales-portal-api","Thu Apr 23 00:27:17 UTC 2026","passed","Thu Apr 23 00:27:17 UTC 2026","[API] [Orders] Delete order by id > Negative","src/api/tests/orders/deleteOrderById.spec.ts","",""
"","163","Should successfully mark one product as received - Partial Receipt","sales-portal-api","Thu Apr 23 00:27:07 UTC 2026","passed","Thu Apr 23 00:27:07 UTC 2026","[API] [Orders] Products Receipt - In Process Orders > Positive cases","src/api/tests/orders/markProductAsReceived.spec.ts","",""
"","36","Should update product: Extra unknown field","sales-portal-api","Thu Apr 23 00:27:17 UTC 2026","passed","Thu Apr 23 00:27:17 UTC 2026","[API] [Products] Update product by ID > Positive","src/api/tests/products/updateProduct.spec.ts","",""
"","34","Empty search parameter","sales-portal-api","Thu Apr 23 00:27:01 UTC 2026","passed","Thu Apr 23 00:27:01 UTC 2026","[API] [Customers] GET customers - filters and sorting - 200 OK > Negative","src/api/tests/customers/getCustomersFiltersAndSorting.spec.ts","",""
"","1909","Should open ""Remove Manager"" modal and display its basic UI","sales-portal-ui","Thu Apr 23 00:26:06 UTC 2026","passed","Thu Apr 23 00:26:08 UTC 2026","[UI] [Orders] [Modals] [Remove Manager Modal]","src/ui/tests/orders/checkUI/orderModals.spec.ts","",""
"","106","Should unassign manager","sales-portal-api","Thu Apr 23 00:27:05 UTC 2026","passed","Thu Apr 23 00:27:05 UTC 2026","[API] [Orders] Unassign manager > Positive","src/api/tests/orders/assignAndUnassignManager.spec.ts","",""
"","11","Should NOT create product: Price exceeds upper limit","sales-portal-api","Thu Apr 23 00:27:15 UTC 2026","passed","Thu Apr 23 00:27:15 UTC 2026","[API] [Products] Create a new product > Negative","src/api/tests/products/createProduct.spec.ts","",""
"","31","Get product by id with not exist product","sales-portal-api","Thu Apr 23 00:27:15 UTC 2026","passed","Thu Apr 23 00:27:16 UTC 2026","[API] [Products] Get Product By Id > Negative","src/api/tests/products/getProductById.spec.ts","",""
"","11","Should NOT get all products with invalid token - 401 Unauthorized","sales-portal-api","Thu Apr 23 00:27:17 UTC 2026","passed","Thu Apr 23 00:27:17 UTC 2026","[API] [Products] Get All Products > Negative","src/api/tests/products/getAllProducts.spec.ts","",""
"","87","Should add comment: Valid comment - 1 chars","sales-portal-api","Thu Apr 23 00:27:04 UTC 2026","passed","Thu Apr 23 00:27:04 UTC 2026","[API] [Orders] Add a comment > Positive","src/api/tests/orders/addComment.spec.ts","",""
"","30","Should NOT update product: Price contains a negative number (price = -1)","sales-portal-api","Thu Apr 23 00:27:18 UTC 2026","passed","Thu Apr 23 00:27:18 UTC 2026","[API] [Products] Update product by ID > Negative","src/api/tests/products/updateProduct.spec.ts","",""
"","33","Should NOT update customer: Flat exceeds upper limit","sales-portal-api","Thu Apr 23 00:27:03 UTC 2026","passed","Thu Apr 23 00:27:03 UTC 2026","[API] [Customers] Update the customer by ID > Negative","src/api/tests/customers/updateCustomer.spec.ts","",""
"","67","Should return list of customers after sorting by createdOn descending - 200 OK","sales-portal-api","Thu Apr 23 00:27:00 UTC 2026","passed","Thu Apr 23 00:27:00 UTC 2026","[API] [Customers] GET customers - filters and sorting - 200 OK > Positive","src/api/tests/customers/getCustomersFiltersAndSorting.spec.ts","",""
"","28","Should return error when order does not exist - 404 Not Found","sales-portal-api","Thu Apr 23 00:27:08 UTC 2026","passed","Thu Apr 23 00:27:08 UTC 2026","[API] [Orders] Products Receipt - Edge Cases","src/api/tests/orders/markProductAsReceived.spec.ts","",""
"","2905","Should allow receiving all products for a In Process order with partially received products","sales-portal-ui","Thu Apr 23 00:26:44 UTC 2026","passed","Thu Apr 23 00:26:47 UTC 2026","[UI] [Orders] [Orders Details] [Received Products Section] Order with Partially Received Products","src/ui/tests/orders/smoke/allReceivedProducts.spec.ts","",""
"","30","Should NOT get customer by ID with invalid token - 401 Not authorized","sales-portal-api","Thu Apr 23 00:26:59 UTC 2026","passed","Thu Apr 23 00:26:59 UTC 2026","[API] [Customers] Get Customer By ID > Negative","src/api/tests/customers/getCustomerById.spec.ts","",""
"","32","Should update product: Price = 99999","sales-portal-api","Thu Apr 23 00:27:17 UTC 2026","passed","Thu Apr 23 00:27:17 UTC 2026","[API] [Products] Update product by ID > Positive","src/api/tests/products/updateProduct.spec.ts","",""
"","136","401 Unauthorized - Update order with invalid token","sales-portal-api","Thu Apr 23 00:27:12 UTC 2026","passed","Thu Apr 23 00:27:12 UTC 2026","[API] [Orders] Update order by ID > Negative","src/api/tests/orders/updateOrder.spec.ts","",""
"","35","Should update customer: 1-char name","sales-portal-api","Thu Apr 23 00:27:02 UTC 2026","passed","Thu Apr 23 00:27:02 UTC 2026","[API] [Customers] Update the customer by ID > Positive","src/api/tests/customers/updateCustomer.spec.ts","",""
"","189","Should NOT return orders when using empty token - 401 Not authorized","sales-portal-api","Thu Apr 23 00:26:59 UTC 2026","passed","Thu Apr 23 00:27:00 UTC 2026","[API] [Customers] Get Customer Orders by ID > Negative","src/api/tests/customers/getCustomerOrders.spec.ts","",""
"","2164","Should not open edit customer modal for Partially Received order","sales-portal-ui","Thu Apr 23 00:26:24 UTC 2026","passed","Thu Apr 23 00:26:26 UTC 2026","[UI] [Orders] [Customer] > [Positive] > [Negative] Orders were created dynamically by service","src/ui/tests/orders/criticalPath/editCustomer.spec.ts","",""
"","106","Should return 401 when using invalid token","sales-portal-api","Thu Apr 23 00:27:14 UTC 2026","passed","Thu Apr 23 00:27:14 UTC 2026","[API][Orders] In Process - Draft/Canceled/In Process/Partially Received/Received > Negative cases","src/api/tests/orders/updateStatusOfOrder.spec.ts","",""
"","32","Should update customer: 40-char name including one space","sales-portal-api","Thu Apr 23 00:27:02 UTC 2026","passed","Thu Apr 23 00:27:02 UTC 2026","[API] [Customers] Update the customer by ID > Positive","src/api/tests/customers/updateCustomer.spec.ts","",""
"","30","Should NOT update customer: Invalid auth token","sales-portal-api","Thu Apr 23 00:27:02 UTC 2026","passed","Thu Apr 23 00:27:02 UTC 2026","[API] [Customers] Update the customer by ID > Negative","src/api/tests/customers/updateCustomer.spec.ts","",""
"","69","Should NOT update delivery: flat is a string","sales-portal-api","Thu Apr 23 00:27:10 UTC 2026","passed","Thu Apr 23 00:27:10 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","10","Should NOT create product: Name contains @","sales-portal-api","Thu Apr 23 00:27:15 UTC 2026","passed","Thu Apr 23 00:27:15 UTC 2026","[API] [Products] Create a new product > Negative","src/api/tests/products/createProduct.spec.ts","",""
"","78","401 Unauthorized - Get order by id with invalid token","sales-portal-api","Thu Apr 23 00:27:07 UTC 2026","passed","Thu Apr 23 00:27:07 UTC 2026","[API] [Orders] Get order by id > Negative","src/api/tests/orders/getOrderById.spec.ts","",""
"","1108","Verify clickEditProductsPencilButton","sales-portal-ui","Thu Apr 23 00:25:57 UTC 2026","passed","Thu Apr 23 00:25:58 UTC 2026","[UI] [Sales Portal] > Orders Details - Received Products section - Orders in Draft","src/ui/tests/health-check.spec.ts","",""
"","1059","Verify product accordion expanded/collapsed state","sales-portal-ui","Thu Apr 23 00:25:56 UTC 2026","passed","Thu Apr 23 00:25:57 UTC 2026","[UI] [Sales Portal] > Orders Details - Received Products section - Orders in Draft","src/ui/tests/health-check.spec.ts","",""
"","33","Should NOT update product: Name contains @","sales-portal-api","Thu Apr 23 00:27:17 UTC 2026","passed","Thu Apr 23 00:27:17 UTC 2026","[API] [Products] Update product by ID > Negative","src/api/tests/products/updateProduct.spec.ts","",""
"","111","Update status to Draft for In Process order","sales-portal-api","Thu Apr 23 00:27:14 UTC 2026","passed","Thu Apr 23 00:27:14 UTC 2026","[API][Orders] In Process - Draft/Canceled/In Process/Partially Received/Received > Negative cases","src/api/tests/orders/updateStatusOfOrder.spec.ts","",""
"","78","Should NOT update delivery: Delivery type is not from the suggested list","sales-portal-api","Thu Apr 23 00:27:09 UTC 2026","passed","Thu Apr 23 00:27:09 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","81","Successful order status update from ""Draft"" to ""Canceled""","sales-portal-api","Thu Apr 23 00:27:13 UTC 2026","passed","Thu Apr 23 00:27:13 UTC 2026","[API][Orders] Draft - Canceled > Positive cases","src/api/tests/orders/updateStatusOfOrder.spec.ts","",""
"","39","No parameters - 200 OK","sales-portal-api","Thu Apr 23 00:27:01 UTC 2026","passed","Thu Apr 23 00:27:02 UTC 2026","[API] [Customers] GET customers - filters and sorting - 200 OK > Negative","src/api/tests/customers/getCustomersFiltersAndSorting.spec.ts","",""
"","33","Get product by id - 200 OK","sales-portal-api","Thu Apr 23 00:27:15 UTC 2026","passed","Thu Apr 23 00:27:15 UTC 2026","[API] [Products] Get Product By Id > Positive","src/api/tests/products/getProductById.spec.ts","",""
"","81","Should add comment: Valid comment - 250 chars","sales-portal-api","Thu Apr 23 00:27:04 UTC 2026","passed","Thu Apr 23 00:27:04 UTC 2026","[API] [Orders] Add a comment > Positive","src/api/tests/orders/addComment.spec.ts","",""
"","1068","Should navigate to order details page after clicking details button","sales-portal-ui","Thu Apr 23 00:26:23 UTC 2026","passed","Thu Apr 23 00:26:24 UTC 2026","[UI] [Sales Portal] > Orders list","src/ui/tests/health-check.spec.ts","",""
"","30","Should create customer: 40-char name including one space - 201 Created","sales-portal-api","Thu Apr 23 00:26:57 UTC 2026","passed","Thu Apr 23 00:26:57 UTC 2026","[API] [Customers] Create A New Customer > Positive","src/api/tests/customers/createCustomer.spec.ts","",""
"","1072","Should display correct number of orders in the table","sales-portal-ui","Thu Apr 23 00:25:51 UTC 2026","passed","Thu Apr 23 00:25:52 UTC 2026","[UI] [Orders] [Orders List]","src/ui/tests/orders/checkUI/orderModals.spec.ts","",""
"","131","Successful order status update from ""In Process"" to ""Canceled""","sales-portal-api","Thu Apr 23 00:27:13 UTC 2026","passed","Thu Apr 23 00:27:14 UTC 2026","[API][Orders] In Process - Draft/Canceled/In Process/Partially Received/Received > Positive cases","src/api/tests/orders/updateStatusOfOrder.spec.ts","",""
