"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58","Should return list of customers after sorting by createdOn ascending - 200 OK","sales-portal-api","Wed Apr 22 23:43:30 UTC 2026","passed","Wed Apr 22 23:43:30 UTC 2026","[API] [Customers] GET customers - filters and sorting - 200 OK > Positive","src/api/tests/customers/getCustomersFiltersAndSorting.spec.ts","",""
"","9","Should create product: 250-char notes","sales-portal-api","Wed Apr 22 23:43:44 UTC 2026","passed","Wed Apr 22 23:43:44 UTC 2026","[API] [Products] Create a new product > Positive","src/api/tests/products/createProduct.spec.ts","",""
"","9","Should NOT add comment for non-existent order - 404 NOT FOUND","sales-portal-api","Wed Apr 22 23:43:34 UTC 2026","passed","Wed Apr 22 23:43:34 UTC 2026","[API] [Orders] Add a comment > Negative","src/api/tests/orders/addComment.spec.ts","",""
"","24","Should create customer: Flat = 1 - 201 Created","sales-portal-api","Wed Apr 22 23:43:28 UTC 2026","passed","Wed Apr 22 23:43:28 UTC 2026","[API] [Customers] Create A New Customer > Positive","src/api/tests/customers/createCustomer.spec.ts","",""
"","1327","Should navigate to a specific page number","sales-portal-ui","Wed Apr 22 23:43:21 UTC 2026","passed","Wed Apr 22 23:43:22 UTC 2026","[UI] [Sales Portal] > Orders list","src/ui/tests/health-check.spec.ts","",""
"","8","Invalid auth token - 401 Unauthorized","sales-portal-api","Wed Apr 22 23:43:31 UTC 2026","passed","Wed Apr 22 23:43:31 UTC 2026","[API] [Customers] GET customers - filters and sorting - 200 OK > Negative","src/api/tests/customers/getCustomersFiltersAndSorting.spec.ts","",""
"","72","Should return 401 when using empty token","sales-portal-api","Wed Apr 22 23:43:35 UTC 2026","passed","Wed Apr 22 23:43:35 UTC 2026","[API] [Orders] Unassign manager > Negative","src/api/tests/orders/assignAndUnassignManager.spec.ts","",""
"","67","Should NOT update delivery: invalid finalDate","sales-portal-api","Wed Apr 22 23:43:40 UTC 2026","passed","Wed Apr 22 23:43:40 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","27","Should NOT get customer by ID with invalid token - 401 Not authorized","sales-portal-api","Wed Apr 22 23:43:29 UTC 2026","passed","Wed Apr 22 23:43:29 UTC 2026","[API] [Customers] Get Customer By ID > Negative","src/api/tests/customers/getCustomerById.spec.ts","",""
"","69","Should return list of customers after sorting by createdOn descending - 200 OK","sales-portal-api","Wed Apr 22 23:43:30 UTC 2026","passed","Wed Apr 22 23:43:30 UTC 2026","[API] [Customers] GET customers - filters and sorting - 200 OK > Positive","src/api/tests/customers/getCustomersFiltersAndSorting.spec.ts","",""
