"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1512","Should navigate to previous page","sales-portal-ui","Wed May 06 21:46:55 UTC 2026","passed","Wed May 06 21:46:57 UTC 2026","[UI] [Orders] [Sales Portal] Health Check > [UI] [Orders] [Orders List]","src/ui/tests/health-check.spec.ts","",""
"","37","Should create customer: Extra unknown field - 201 Created","sales-portal-api","Wed May 06 21:47:18 UTC 2026","passed","Wed May 06 21:47:18 UTC 2026","[API] [Customers] Create A New Customer > Positive","src/api/tests/customers/createCustomer.spec.ts","",""
"","2053","Should open ""Assign Manager"" modal and display its basic UI","sales-portal-ui","Wed May 06 21:46:28 UTC 2026","passed","Wed May 06 21:46:30 UTC 2026","[UI] [Orders] [Modals] [Assign Manager Modal]","src/ui/tests/orders/checkUI/orderModals.spec.ts","",""
"","1543","Verify individual product received checkbox","sales-portal-ui","Wed May 06 21:46:39 UTC 2026","passed","Wed May 06 21:46:40 UTC 2026","[UI] [Orders] [Sales Portal] Health Check > [UI] [Orders] [Order Details] [Received Products] Orders in Progress","src/ui/tests/health-check.spec.ts","",""
"","14","Should NOT create product: Amount contains a negative number (amount = -1)","sales-portal-api","Wed May 06 21:47:29 UTC 2026","passed","Wed May 06 21:47:29 UTC 2026","[API] [Products] Create a new product > Negative","src/api/tests/products/createProduct.spec.ts","",""
"","37","Should NOT create product: Duplicate name","sales-portal-api","Wed May 06 21:47:29 UTC 2026","passed","Wed May 06 21:47:29 UTC 2026","[API] [Products] Create a new product > Negative","src/api/tests/products/createProduct.spec.ts","",""
"","108","Should NOT update delivery: finalDate is empty","sales-portal-api","Wed May 06 21:47:27 UTC 2026","passed","Wed May 06 21:47:27 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","14","Should NOT create product: Invalid price (price = 0)","sales-portal-api","Wed May 06 21:47:29 UTC 2026","passed","Wed May 06 21:47:29 UTC 2026","[API] [Products] Create a new product > Negative","src/api/tests/products/createProduct.spec.ts","",""
"","39","Should NOT update customer: Phone without plus sign","sales-portal-api","Wed May 06 21:47:22 UTC 2026","passed","Wed May 06 21:47:22 UTC 2026","[API] [Customers] Update the customer by ID > Negative","src/api/tests/customers/updateCustomer.spec.ts","",""
"","1211","Should open ""Create New Order"" modal and display its basic UI","sales-portal-ui","Wed May 06 21:46:25 UTC 2026","passed","Wed May 06 21:46:26 UTC 2026","[UI] [Orders] [Modals] [Create Order Modal]","src/ui/tests/orders/checkUI/orderModals.spec.ts","",""
