"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Should create product: Amount = 999","sales-portal-api","Wed Apr 22 22:26:21 UTC 2026","passed","Wed Apr 22 22:26:21 UTC 2026","[API] [Products] Create a new product > Positive","src/api/tests/products/createProduct.spec.ts","",""
"","17","404 Not Found - Get order by invalid id","sales-portal-api","Wed Apr 22 22:26:15 UTC 2026","passed","Wed Apr 22 22:26:15 UTC 2026","[API] [Orders] Get order by id > Negative","src/api/tests/orders/getOrderById.spec.ts","",""
"","129","Should NOT update delivery: flat = 0","sales-portal-api","Wed Apr 22 22:26:20 UTC 2026","passed","Wed Apr 22 22:26:20 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","209","404 Not Found - Update order with invalid order id","sales-portal-api","Wed Apr 22 22:26:18 UTC 2026","passed","Wed Apr 22 22:26:18 UTC 2026","[API] [Orders] Update order by ID > Negative","src/api/tests/orders/updateOrder.spec.ts","",""
"","126","Should NOT update delivery: City is empty","sales-portal-api","Wed Apr 22 22:26:19 UTC 2026","passed","Wed Apr 22 22:26:19 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","116","Should NOT update delivery: flat is a string","sales-portal-api","Wed Apr 22 22:26:20 UTC 2026","passed","Wed Apr 22 22:26:20 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","263","Should successfully mark one product as received - Partial Receipt","sales-portal-api","Wed Apr 22 22:26:16 UTC 2026","passed","Wed Apr 22 22:26:16 UTC 2026","[API] [Orders] Products Receipt - In Process Orders > Positive cases","src/api/tests/orders/markProductAsReceived.spec.ts","",""
"","16","Should create product: Without notes field","sales-portal-api","Wed Apr 22 22:26:21 UTC 2026","passed","Wed Apr 22 22:26:21 UTC 2026","[API] [Products] Create a new product > Positive","src/api/tests/products/createProduct.spec.ts","",""
"","151","Should NOT delete non-existent comment - 404 NOT FOUND","sales-portal-api","Wed Apr 22 22:26:14 UTC 2026","passed","Wed Apr 22 22:26:14 UTC 2026","[API] [Orders] Delete order comment > Negative cases","src/api/tests/orders/deleteComment.spec.ts","",""
"","273","Should return error when trying to receive already received products - 400 Bad Request","sales-portal-api","Wed Apr 22 22:26:17 UTC 2026","passed","Wed Apr 22 22:26:17 UTC 2026","[API] [Orders] Products Receipt - Already Received Orders","src/api/tests/orders/markProductAsReceived.spec.ts","",""
"","9","401 Unauthorized - Delete order with empty token","sales-portal-api","Wed Apr 22 22:26:15 UTC 2026","passed","Wed Apr 22 22:26:15 UTC 2026","[API] [Orders] Delete order by id > Negative","src/api/tests/orders/deleteOrderById.spec.ts","",""
"","15","Should create product: 250-char notes","sales-portal-api","Wed Apr 22 22:26:21 UTC 2026","passed","Wed Apr 22 22:26:21 UTC 2026","[API] [Products] Create a new product > Positive","src/api/tests/products/createProduct.spec.ts","",""
"","212","404 Non Found - Update order with invalid product id","sales-portal-api","Wed Apr 22 22:26:18 UTC 2026","passed","Wed Apr 22 22:26:19 UTC 2026","[API] [Orders] Update order by ID > Negative","src/api/tests/orders/updateOrder.spec.ts","",""
"","17","Should create product: Price = 99999","sales-portal-api","Wed Apr 22 22:26:21 UTC 2026","passed","Wed Apr 22 22:26:21 UTC 2026","[API] [Products] Create a new product > Positive","src/api/tests/products/createProduct.spec.ts","",""
"","48","Should NOT update product: Price exceeds upper limit","sales-portal-api","Wed Apr 22 22:26:24 UTC 2026","passed","Wed Apr 22 22:26:24 UTC 2026","[API] [Products] Update product by ID > Negative","src/api/tests/products/updateProduct.spec.ts","",""
"","142","Should NOT update delivery: Street is empty","sales-portal-api","Wed Apr 22 22:26:19 UTC 2026","passed","Wed Apr 22 22:26:20 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","155","Should update delivery: house = 999 (max)","sales-portal-api","Wed Apr 22 22:26:18 UTC 2026","passed","Wed Apr 22 22:26:18 UTC 2026","[API] [Orders] Update delivery > Positive","src/api/tests/orders/updateDelivery.spec.ts","",""
"","50","Should update product: Price = 1","sales-portal-api","Wed Apr 22 22:26:23 UTC 2026","passed","Wed Apr 22 22:26:23 UTC 2026","[API] [Products] Update product by ID > Positive","src/api/tests/products/updateProduct.spec.ts","",""
"","260","400 Bad Request - Update order which status is In Process","sales-portal-api","Wed Apr 22 22:26:20 UTC 2026","passed","Wed Apr 22 22:26:20 UTC 2026","[API] [Orders] Update order by ID > Negative","src/api/tests/orders/updateOrder.spec.ts","",""
"","11","Should NOT get all products with empty token - 401 Not authorized","sales-portal-api","Wed Apr 22 22:26:22 UTC 2026","passed","Wed Apr 22 22:26:22 UTC 2026","[API] [Products] Get All Products > Negative","src/api/tests/products/getAllProducts.spec.ts","",""
"","46","Should NOT update product: Manufacturer is not from the suggested list","sales-portal-api","Wed Apr 22 22:26:24 UTC 2026","passed","Wed Apr 22 22:26:24 UTC 2026","[API] [Products] Update product by ID > Negative","src/api/tests/products/updateProduct.spec.ts","",""
"","47","Should update product: Price = 99999","sales-portal-api","Wed Apr 22 22:26:23 UTC 2026","passed","Wed Apr 22 22:26:23 UTC 2026","[API] [Products] Update product by ID > Positive","src/api/tests/products/updateProduct.spec.ts","",""
"","40","Should NOT create product: Duplicate name","sales-portal-api","Wed Apr 22 22:26:22 UTC 2026","passed","Wed Apr 22 22:26:22 UTC 2026","[API] [Products] Create a new product > Negative","src/api/tests/products/createProduct.spec.ts","",""
"","139","Should update delivery: flat = 9999 (max)","sales-portal-api","Wed Apr 22 22:26:18 UTC 2026","passed","Wed Apr 22 22:26:18 UTC 2026","[API] [Orders] Update delivery > Positive","src/api/tests/orders/updateDelivery.spec.ts","",""
"","117","401 Unauthorized - Delete order with invalid token","sales-portal-api","Wed Apr 22 22:26:15 UTC 2026","passed","Wed Apr 22 22:26:15 UTC 2026","[API] [Orders] Delete order by id > Negative","src/api/tests/orders/deleteOrderById.spec.ts","",""
"","22","Should create product: Full valid data","sales-portal-api","Wed Apr 22 22:26:21 UTC 2026","passed","Wed Apr 22 22:26:21 UTC 2026","[API] [Products] Create a new product > Positive","src/api/tests/products/createProduct.spec.ts","",""
"","144","Should NOT update delivery: City consists numbers","sales-portal-api","Wed Apr 22 22:26:19 UTC 2026","passed","Wed Apr 22 22:26:19 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","47","Should NOT update product: Empty name","sales-portal-api","Wed Apr 22 22:26:23 UTC 2026","passed","Wed Apr 22 22:26:24 UTC 2026","[API] [Products] Update product by ID > Negative","src/api/tests/products/updateProduct.spec.ts","",""
"","47","Should NOT update product: Name too short (1 char)","sales-portal-api","Wed Apr 22 22:26:24 UTC 2026","passed","Wed Apr 22 22:26:24 UTC 2026","[API] [Products] Update product by ID > Negative","src/api/tests/products/updateProduct.spec.ts","",""
"","165","Should update delivery: 1-char street","sales-portal-api","Wed Apr 22 22:26:17 UTC 2026","passed","Wed Apr 22 22:26:17 UTC 2026","[API] [Orders] Update delivery > Positive","src/api/tests/orders/updateDelivery.spec.ts","",""
"","151","Update status to Draft for In Process order","sales-portal-api","Wed Apr 22 22:26:21 UTC 2026","passed","Wed Apr 22 22:26:22 UTC 2026","[API][Orders] In Process - Draft/Canceled/In Process/Partially Received/Received > Negative cases","src/api/tests/orders/updateStatusOfOrder.spec.ts","",""
"","14","Should NOT create product: Amount contains a negative number (amount = -1)","sales-portal-api","Wed Apr 22 22:26:22 UTC 2026","passed","Wed Apr 22 22:26:22 UTC 2026","[API] [Products] Create a new product > Negative","src/api/tests/products/createProduct.spec.ts","",""
"","120","Should NOT update delivery: Invalid auth token","sales-portal-api","Wed Apr 22 22:26:21 UTC 2026","passed","Wed Apr 22 22:26:21 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","156","Should return 401 when using empty token","sales-portal-api","Wed Apr 22 22:26:17 UTC 2026","passed","Wed Apr 22 22:26:17 UTC 2026","[API] [Orders] Unassign manager > Negative","src/api/tests/orders/assignAndUnassignManager.spec.ts","",""
"","50","Should update product: Amount = 999","sales-portal-api","Wed Apr 22 22:26:23 UTC 2026","passed","Wed Apr 22 22:26:23 UTC 2026","[API] [Products] Update product by ID > Positive","src/api/tests/products/updateProduct.spec.ts","",""
"","13","Should NOT create product: Name too short (1 char)","sales-portal-api","Wed Apr 22 22:26:21 UTC 2026","passed","Wed Apr 22 22:26:21 UTC 2026","[API] [Products] Create a new product > Negative","src/api/tests/products/createProduct.spec.ts","",""
"","198","Should return error when products do not exist in order - 400 Bad Request","sales-portal-api","Wed Apr 22 22:26:16 UTC 2026","passed","Wed Apr 22 22:26:16 UTC 2026","[API] [Orders] Products Receipt - In Process Orders > Positive cases","src/api/tests/orders/markProductAsReceived.spec.ts","",""
"","270","Should successfully mark all products as received from Partially Received status - 200 OK","sales-portal-api","Wed Apr 22 22:26:17 UTC 2026","passed","Wed Apr 22 22:26:17 UTC 2026","[API] [Orders] Products Receipt - Partially Received Orders","src/api/tests/orders/markProductAsReceived.spec.ts","",""
"","0","Should return error when trying to receive products for Canceled order - 400 Bad Request","sales-portal-api","Wed Apr 22 22:26:17 UTC 2026","skipped","Wed Apr 22 22:26:17 UTC 2026","[API] [Orders] Products Receipt - Canceled Orders","src/api/tests/orders/markProductAsReceived.spec.ts","",""
"","59","Get product by id with empty token","sales-portal-api","Wed Apr 22 22:26:22 UTC 2026","passed","Wed Apr 22 22:26:22 UTC 2026","[API] [Products] Get Product By Id > Negative","src/api/tests/products/getProductById.spec.ts","",""
"","142","Should update delivery: 40-char Street (max)","sales-portal-api","Wed Apr 22 22:26:18 UTC 2026","passed","Wed Apr 22 22:26:18 UTC 2026","[API] [Orders] Update delivery > Positive","src/api/tests/orders/updateDelivery.spec.ts","",""
"","14","Should NOT create product: Invalid auth token","sales-portal-api","Wed Apr 22 22:26:21 UTC 2026","passed","Wed Apr 22 22:26:21 UTC 2026","[API] [Products] Create a new product > Negative","src/api/tests/products/createProduct.spec.ts","",""
"","78","Should update product: Without notes field","sales-portal-api","Wed Apr 22 22:26:23 UTC 2026","passed","Wed Apr 22 22:26:23 UTC 2026","[API] [Products] Update product by ID > Positive","src/api/tests/products/updateProduct.spec.ts","",""
"","129","Should NOT delete comment from non-existent order - 404 NOT FOUND","sales-portal-api","Wed Apr 22 22:26:14 UTC 2026","passed","Wed Apr 22 22:26:14 UTC 2026","[API] [Orders] Delete order comment > Negative cases","src/api/tests/orders/deleteComment.spec.ts","",""
"","165","Should return 401 when using empty token","sales-portal-api","Wed Apr 22 22:26:16 UTC 2026","passed","Wed Apr 22 22:26:16 UTC 2026","[API] [Orders] Products Receipt - In Process Orders > Positive cases","src/api/tests/orders/markProductAsReceived.spec.ts","",""
"","14","Should NOT create product: Empty name","sales-portal-api","Wed Apr 22 22:26:21 UTC 2026","passed","Wed Apr 22 22:26:21 UTC 2026","[API] [Products] Create a new product > Negative","src/api/tests/products/createProduct.spec.ts","",""
