"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","97","Update status to Draft for In Process order","sales-portal-api","Wed Apr 22 23:53:17 UTC 2026","passed","Wed Apr 22 23:53:17 UTC 2026","[API][Orders] In Process - Draft/Canceled/In Process/Partially Received/Received > Negative cases","src/api/tests/orders/updateStatusOfOrder.spec.ts","",""
"","47","Should NOT update product: Duplicate name","sales-portal-api","Wed Apr 22 23:53:21 UTC 2026","passed","Wed Apr 22 23:53:21 UTC 2026","[API] [Products] Update product by ID > Negative","src/api/tests/products/updateProduct.spec.ts","",""
"","35","Should return list of customers after sorting by name descending - 200 OK","sales-portal-api","Wed Apr 22 23:53:07 UTC 2026","passed","Wed Apr 22 23:53:07 UTC 2026","[API] [Customers] GET customers - filters and sorting - 200 OK > Positive","src/api/tests/customers/getCustomersFiltersAndSorting.spec.ts","",""
"","18","Should create customer: Flat = 9999 - 201 Created","sales-portal-api","Wed Apr 22 23:53:04 UTC 2026","passed","Wed Apr 22 23:53:04 UTC 2026","[API] [Customers] Create A New Customer > Positive","src/api/tests/customers/createCustomer.spec.ts","",""
"","30","Should NOT update product: Price exceeds upper limit","sales-portal-api","Wed Apr 22 23:53:20 UTC 2026","passed","Wed Apr 22 23:53:21 UTC 2026","[API] [Products] Update product by ID > Negative","src/api/tests/products/updateProduct.spec.ts","",""
"","62","Should NOT update delivery: finalDate is empty","sales-portal-api","Wed Apr 22 23:53:14 UTC 2026","passed","Wed Apr 22 23:53:14 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","62","Should NOT update delivery: Street too long (41 chars)","sales-portal-api","Wed Apr 22 23:53:14 UTC 2026","passed","Wed Apr 22 23:53:14 UTC 2026","[API] [Orders] Update delivery > Negative","src/api/tests/orders/updateDelivery.spec.ts","",""
"","24","Empty search parameter","sales-portal-api","Wed Apr 22 23:53:07 UTC 2026","passed","Wed Apr 22 23:53:07 UTC 2026","[API] [Customers] GET customers - filters and sorting - 200 OK > Negative","src/api/tests/customers/getCustomersFiltersAndSorting.spec.ts","",""
"","17","Should create customer: House = 1 - 201 Created","sales-portal-api","Wed Apr 22 23:53:04 UTC 2026","passed","Wed Apr 22 23:53:04 UTC 2026","[API] [Customers] Create A New Customer > Positive","src/api/tests/customers/createCustomer.spec.ts","",""
"","73","Should return all precreated customers - 200 OK","sales-portal-api","Wed Apr 22 23:53:05 UTC 2026","passed","Wed Apr 22 23:53:05 UTC 2026","[API] [Customers] Get All Customers > Positive","src/api/tests/customers/getAllCustomers.spec.ts","",""
